# Baseline Results (Up to date)
# 597 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,726.509,201.6,0.113,7.842e-4,9.792,NaN,82.749,NaN,0,0,0,0.925,0.571,0.234,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2,90,15,1013.25,0.001,340.389,0.006,1.851e5,6.604,34.253,0.01,0.001,0
0.01,6.528e-4,6.528e-4,0.212,0.212,48.971,48.971,-3.479e-6,0,3.479e-6,270,8.701e-4,0.105,28.61,-80.6,84.468,0,0,0,90,0,726.238,201.329,0.113,7.842e-4,9.792,NaN,82.737,NaN,42.676,6.001,2.006e-5,0.925,0.571,0.234,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.192,90,15,1013.25,0.001,340.389,0.006,1.852e5,6.604,34.253,0.01,0.002,2.717e-5
0.02,0.006,0.006,0.996,0.996,107.776,107.776,-1.755e-5,0,1.755e-5,270,0.002,0.122,28.61,-80.6,65.463,0,0,0,90,0,725.967,201.058,0.113,7.842e-4,9.792,NaN,82.725,NaN,85.353,12.007,0.002,0.913,0.56,0.234,0.12,0.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.184,90,15,1013.249,0.001,340.389,0.007,2.018e5,6.604,34.253,0.004,0.002,1.275e-4
0.024,0.011,0.011,1.474,1.474,131.308,131.308,-2.646e-5,0,2.646e-5,270,0.002,0.143,28.61,-80.6,55.907,0,0,0,90,0,725.859,200.95,0.113,7.842e-4,9.792,NaN,82.72,NaN,102.423,14.41,0.005,0.902,0.548,0.234,0.12,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.18,90,15,1013.249,0.001,340.389,0.008,2.213e5,6.604,34.253,0.006,0.003,1.887e-4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.022,0.022,2.298,2.298,143.421,143.421,-4.431e-5,0,4.431e-5,270,0.004,0,28.61,-80.6,43.375,0,0,0,90,0,725.418,200.509,0.113,7.841e-4,9.792,NaN,82.701,NaN,111.157,15.648,0.013,0.879,0.525,0.234,0.12,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.175,90,15,1013.247,0.001,340.389,0.009,2.66e5,6.604,34.253,0.009,0.003,2.943e-4
0.039,0.049,0.049,3.671,3.671,161.606,161.606,-7.882e-5,0,7.882e-5,270,0.004,0,28.61,-80.6,30.52,0,0,0,90,0,724.757,199.848,0.113,7.84e-4,9.792,NaN,82.672,NaN,124.257,17.509,0.035,0.845,0.491,0.234,0.12,0.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.168,90,15,1013.244,0.001,340.389,0.013,3.585e5,6.604,34.253,0.01,0.003,4.7e-4
0.049,0.094,0.094,5.388,5.388,181.832,181.832,-1.172e-4,0,1.172e-4,270,0.004,0,28.61,-80.6,21.806,0,0,0,90,0,724.022,199.113,0.113,7.84e-4,9.792,NaN,82.639,NaN,138.813,19.579,0.073,0.813,0.459,0.234,0.12,1.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.16,90,14.999,1013.239,0.001,340.389,0.017,4.883e5,6.604,34.253,0.01,0.004,6.899e-4
0.059,0.158,0.158,7.308,7.308,202.08,202.08,-1.555e-4,0,1.555e-4,270,0.004,0,28.61,-80.6,16.458,0,0,0,90,0,723.287,198.378,0.113,7.839e-4,9.792,NaN,82.606,NaN,153.369,21.654,0.125,0.787,0.433,0.234,0.12,1.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.163,90,14.999,1013.232,0.001,340.388,0.022,6.411e5,6.604,34.253,0.01,0.004,9.356e-4
0.069,0.241,0.241,9.43,9.43,222.351,222.351,-1.938e-4,0,1.938e-4,270,0.004,0,28.61,-80.6,12.92,0,0,0,90,0,722.553,197.644,0.113,7.838e-4,9.792,NaN,82.574,NaN,167.925,23.734,0.189,0.767,0.413,0.234,0.12,0.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.167,90,14.998,1013.222,0.001,340.388,0.028,8.14e5,6.604,34.253,0.005,0.004,0.001
0.074,0.291,0.291,10.567,10.567,232.494,232.494,-2.13e-4,0,2.13e-4,270,0.004,0,28.61,-80.6,11.581,0,0,0,90,0,722.185,197.276,0.113,7.838e-4,9.792,NaN,82.557,NaN,175.203,24.775,0.227,0.758,0.404,0.234,0.12,0.931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.169,90,14.998,1013.216,0.001,340.388,0.032,9.075e5,6.604,34.253,0.007,0.004,0.001
0.081,0.377,0.377,12.316,12.316,233.9,233.9,-2.418e-4,0,2.418e-4,270,0.004,0,28.61,-80.6,9.986,0,0,0,90,0,721.478,196.569,0.113,7.837e-4,9.792,NaN,82.526,NaN,176.111,24.928,0.293,0.751,0.397,0.234,0.12,0.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.172,90,14.998,1013.206,0.001,340.387,0.037,1.052e6,6.604,34.253,0.008,0.005,0.002
0.09,0.485,0.485,14.221,14.221,235.407,235.407,-2.729e-4,0,2.729e-4,270,0.004,0,28.61,-80.6,8.684,0,0,0,90,0,720.712,195.803,0.113,7.836e-4,9.792,NaN,82.491,NaN,177.095,25.094,0.377,0.751,0.397,0.234,0.12,0.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.176,90,14.997,1013.193,0.001,340.387,0.042,1.21e6,6.604,34.253,0.007,0.005,0.002
0.097,0.59,0.59,15.881,15.881,236.702,236.702,-2.998e-4,0,2.998e-4,270,0.004,0,28.61,-80.6,7.799,0,0,0,90,0,720.048,195.139,0.113,7.835e-4,9.792,NaN,82.462,NaN,177.946,25.238,0.458,0.751,0.397,0.234,0.12,0.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.179,90,14.996,1013.181,0.001,340.387,0.047,1.349e6,6.604,34.253,0.006,0.005,0.002
0.103,0.695,0.695,17.375,17.375,237.854,237.854,-3.24e-4,0,3.24e-4,270,0.004,0,28.61,-80.6,7.127,0,0,0,90,0,719.454,194.545,0.112,7.835e-4,9.792,NaN,82.435,NaN,178.709,25.367,0.538,0.751,0.397,0.234,0.12,0.837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.176,90,14.995,1013.168,0.001,340.386,0.051,1.473e6,6.604,34.253,0.006,0.006,0.002
0.109,0.799,0.799,18.747,18.747,238.901,238.901,-3.46e-4,0,3.46e-4,270,0.004,0,28.61,-80.6,6.585,0,0,0,90,0,718.911,194.002,0.112,7.834e-4,9.792,NaN,82.411,NaN,179.406,25.485,0.618,0.751,0.397,0.234,0.12,0.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.168,90,14.995,1013.156,0.001,340.386,0.055,1.588e6,6.604,34.253,0.005,0.006,0.002
0.114,0.902,0.902,20.024,20.024,239.864,239.864,-3.665e-4,0,3.665e-4,270,0.004,0,28.61,-80.6,6.147,0,0,0,90,0,718.408,193.499,0.112,7.834e-4,9.792,NaN,82.388,NaN,180.052,25.594,0.697,0.751,0.397,0.234,0.12,0.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.161,90,14.994,1013.144,0.001,340.385,0.059,1.694e6,6.604,34.253,0.005,0.006,0.003
# Event LAUNCHROD occurred at t=0.119 seconds
0.119,1.005,1.005,21.224,21.224,240.761,240.774,-3.856e-4,0,3.856e-4,270,0.004,2.559,28.61,-80.6,5.783,0,0,0,90,0,717.936,193.027,0.112,7.833e-4,9.792,98.374,82.367,2.424,180.656,25.697,0.775,0.752,0.397,0.234,0.121,0.812,1.922,4.659,1.276e-6,0,0,0,0,0,2.153,90,14.993,1013.132,0.001,340.385,0.063,1.795e6,6.604,34.253,0.006,0.006,0.003
0.125,1.136,1.136,22.664,22.664,241.826,241.841,-4.548e-4,0,4.548e-4,270,0.019,2.662,28.61,-80.6,5.355,0,0.925,-3.776e-5,89.997,89.997,717.373,192.464,0.112,7.833e-4,9.792,98.689,82.341,2.475,181.379,25.82,0.875,0.752,0.397,0.234,0.121,0.805,1.763,4.363,2.079e-5,0,0,0,0,4.75e-4,2.145,90,14.993,1013.117,0.001,340.384,0.067,1.915e6,6.604,34.253,0.009,0.007,0.003
0.134,1.349,1.349,24.827,24.827,241.388,241.404,-7.369e-4,0,7.369e-4,270,0.044,2.756,28.61,-80.6,4.791,0,2.421,-3.549e-5,89.982,89.998,716.519,191.61,0.112,7.832e-4,9.792,99.115,82.303,2.546,181.011,25.799,1.036,0.752,0.397,0.234,0.121,0.795,1.557,3.961,1.005e-4,0,0,0,0,0.003,2.132,90,14.991,1013.092,0.001,340.384,0.073,2.096e6,6.604,34.253,0.013,0.007,0.003
0.147,1.704,1.704,28.064,28.064,240.694,240.71,-0.002,0,0.002,270,0.081,2.739,28.61,-80.6,4.075,0,4.886,-2.521e-5,89.934,89.999,715.237,190.328,0.112,7.83e-4,9.792,99.673,82.244,2.639,180.458,25.766,1.303,0.752,0.397,0.234,0.121,0.785,1.303,3.43,-1.656e-4,0,0,0,0,0.009,2.113,90,14.989,1013.05,0.001,340.382,0.083,2.367e6,6.604,34.253,0.02,0.007,0.004
0.168,2.318,2.318,32.901,32.901,239.571,239.582,-0.004,0,0.004,270,0.132,2.296,28.61,-80.6,3.185,0,8.968,-2.565e-5,89.795,90,713.315,188.406,0.112,7.828e-4,9.792,100.398,82.157,2.762,179.63,25.717,1.762,0.753,0.397,0.235,0.121,0.773,0.997,2.733,-4.434e-4,0,0,0,0,0.021,2.081,90,14.985,1012.978,0.001,340.38,0.097,2.773e6,6.604,34.253,0.008,0.008,0.004
0.176,2.606,2.606,34.93,34.93,239.068,239.076,-0.005,0,0.005,270,0.15,1.943,28.61,-80.6,2.853,0,10.772,-1.734e-5,89.711,90,712.506,187.597,0.112,7.828e-4,9.792,100.677,82.12,2.81,179.281,25.696,1.976,0.753,0.397,0.235,0.121,0.77,0.886,2.463,4.785e-4,0,0,0,0,0.027,2.068,90,14.983,1012.944,0.001,340.379,0.103,2.943e6,6.604,34.253,0.013,0.008,0.004
0.189,3.069,3.069,37.974,37.974,239.778,239.781,-0.007,-6.755e-9,0.007,270,0.171,1.199,28.61,-80.6,2.386,0,13.498,-4.31e-4,89.557,90,711.293,186.384,0.112,7.826e-4,9.792,101.077,82.064,2.879,179.826,25.818,2.32,0.753,0.397,0.235,0.122,0.765,0.733,2.074,2.607e-5,0,0,0,0,0.036,2.048,90,14.98,1012.89,0.001,340.377,0.112,3.198e6,6.604,34.253,0.019,0.008,0.005
0.207,3.823,3.823,42.479,42.48,240.745,240.745,-0.01,-7.218e-9,0.01,270,0.179,0.336,28.61,-80.6,1.77,0,17.379,-3.056e-4,89.267,89.999,709.503,184.594,0.111,7.824e-4,9.792,101.622,81.982,2.974,180.629,25.999,2.883,0.754,0.396,0.235,0.122,0.76,0.536,1.546,-1.333e-4,0,0,0,0,0.048,2.037,90,14.975,1012.802,0.001,340.374,0.125,3.577e6,6.604,34.253,0.019,0.008,0.005
0.226,4.652,4.652,46.949,46.95,241.595,241.607,-0.013,7.747e-9,0.013,270,0.155,2.367,28.61,-80.6,1.228,0,20.818,5.135e-4,88.912,90,707.734,182.825,0.111,7.823e-4,9.792,102.117,81.9,3.061,181.423,26.178,3.508,0.754,0.396,0.235,0.122,0.758,0.367,1.067,3.62e-4,0,0,0,0,0.057,2.055,90,14.97,1012.704,0.001,340.371,0.138,3.952e6,6.604,34.253,0.024,0.008,0.006
0.25,5.838,5.838,52.729,52.729,244.149,244.219,-0.016,3.976e-8,0.016,270,0.06,5.818,28.61,-80.6,0.566,0,24.009,0.001,88.375,90,705.42,180.511,0.111,7.82e-4,9.792,102.742,81.792,3.172,183.593,26.578,4.413,0.755,0.396,0.236,0.123,0.756,0.167,0.468,4.372e-4,0,0,0,0,0.06,2.077,90,14.962,1012.565,0.001,340.366,0.155,4.438e6,6.604,34.253,0.027,0.009,0.007
0.277,7.363,7.363,59.408,59.408,246.778,247.014,-0.015,4.144e-8,0.015,270,0.165,10.785,28.61,-80.6,0.165,-3.645e-7,-24.68,0.003,87.704,90.001,702.775,177.866,0.111,7.817e-4,9.792,103.137,81.668,3.251,186.074,27.039,5.604,0.756,0.396,0.236,0.124,0.756,0.048,0.205,1.03e-4,0,0,0,0,-0.05,2.046,90,14.952,1012.386,0.001,340.36,0.175,4.999e6,6.604,34.253,0.041,0.009,0.008
0.318,9.994,9.994,69.544,69.549,249.909,250.577,0.003,-2.027e-7,0.003,90.004,0.762,18.278,28.61,-80.6,0.885,-5.167e-6,-17.433,5.106e-4,86.813,90.001,698.708,173.799,0.11,7.813e-4,9.792,102.475,81.475,3.18,189.602,27.712,7.717,0.758,0.395,0.237,0.125,0.76,0.263,0.853,1.2e-4,0,0,0,0,-0.018,2.034,90,14.935,1012.078,0.001,340.35,0.204,5.852e6,6.604,34.253,0.01,0.009,0.009
0.328,10.716,10.716,72.095,72.101,250.616,251.392,0.012,-4.041e-7,0.012,90.002,0.956,19.739,28.61,-80.6,0.967,-5.137e-6,-14.138,7.616e-4,86.651,90.001,697.693,172.784,0.11,7.812e-4,9.792,102.404,81.427,3.176,190.483,27.881,8.303,0.759,0.395,0.238,0.126,0.761,0.288,0.926,-4.566e-4,0,0,0,0,-0.011,2.042,90,14.93,1011.993,0.001,340.347,0.212,6.066e6,6.604,34.253,0.012,0.01,0.009
0.34,11.562,11.562,74.975,74.984,249.658,250.533,0.024,-6.625e-7,0.024,90.002,1.191,20.921,28.61,-80.6,1.011,-5.359e-6,-9.87,7.174e-4,86.513,90.001,696.535,171.626,0.11,7.811e-4,9.792,102.37,81.371,3.18,190.259,27.895,8.99,0.759,0.395,0.238,0.126,0.762,0.302,0.964,1.357e-4,0,0,0,0,-0.005,2.051,90,14.925,1011.894,0.001,340.343,0.22,6.309e6,6.604,34.253,0.01,0.01,0.01
0.35,12.34,12.34,77.518,77.531,248.804,249.737,0.037,-9.133e-7,0.037,90.001,1.408,21.566,28.61,-80.6,1.006,-5.273e-6,-5.731,-4.439e-6,86.433,90.001,695.509,170.6,0.11,7.81e-4,9.792,102.38,81.322,3.189,190.06,27.907,9.618,0.76,0.395,0.238,0.127,0.762,0.3,0.959,-1.135e-4,0,0,0,0,-0.002,2.059,90,14.92,1011.803,0.001,340.34,0.228,6.523e6,6.604,34.253,0.01,0.01,0.01
0.359,13.095,13.095,79.901,79.918,248.001,248.96,0.052,-1.163e-6,0.052,90.001,1.616,21.828,28.61,-80.6,0.972,-5.397e-6,-1.659,1.859e-4,86.397,90.001,694.544,169.635,0.11,7.809e-4,9.792,102.418,81.276,3.201,189.873,27.918,10.225,0.761,0.395,0.239,0.127,0.763,0.29,0.928,1.273e-4,0,0,0,0,-1.238e-4,2.054,90,14.915,1011.714,0.001,340.337,0.235,6.723e6,6.604,34.253,0.009,0.01,0.01
0.369,13.851,13.851,82.209,82.229,247.226,248.175,0.068,-1.417e-6,0.068,90.001,1.82,21.684,28.61,-80.6,0.905,-5.536e-6,2.337,2.705e-4,86.401,90,693.607,168.698,0.11,7.808e-4,9.792,102.485,81.23,3.218,189.692,27.929,10.829,0.761,0.395,0.239,0.128,0.763,0.27,0.868,-2.082e-5,0,0,0,0,2.321e-4,2.049,90,14.91,1011.626,0.001,340.334,0.242,6.917e6,6.604,34.253,0.009,0.011,0.011
0.378,14.632,14.632,84.521,84.545,246.454,247.357,0.086,-1.681e-6,0.086,90.001,2.02,21.127,28.61,-80.6,0.806,-5.701e-6,6.226,4.593e-4,86.441,90,692.665,167.756,0.109,7.807e-4,9.792,102.583,81.185,3.24,189.509,27.94,11.45,0.762,0.395,0.239,0.128,0.763,0.24,0.775,1.23e-4,0,0,0,0,0.002,2.044,90,14.905,1011.534,0.001,340.331,0.249,7.112e6,6.604,34.253,0.01,0.011,0.011
0.388,15.485,15.485,86.966,86.994,244.972,245.791,0.107,-1.965e-6,0.107,90.001,2.226,20.047,28.61,-80.6,0.671,-5.889e-6,10.01,8.034e-4,86.522,90,691.676,166.767,0.109,7.806e-4,9.792,102.716,81.137,3.268,188.856,27.884,12.125,0.762,0.394,0.239,0.129,0.763,0.199,0.646,1.285e-4,0,0,0,0,0.004,2.039,90,14.899,1011.434,0.001,340.328,0.256,7.317e6,6.604,34.253,0.011,0.011,0.011
0.399,16.48,16.48,89.715,89.748,243.291,243.98,0.133,-2.285e-6,0.133,90.001,2.442,18.318,28.61,-80.6,0.489,-5.989e-6,13.585,-7.22e-4,86.656,90,690.557,165.648,0.109,7.804e-4,9.792,102.895,81.082,3.303,188.117,27.82,12.908,0.763,0.394,0.24,0.129,0.764,0.144,0.471,-1.68e-4,0,0,0,0,0.007,2.032,90,14.893,1011.317,0.001,340.324,0.264,7.549e6,6.604,34.253,0.015,0.011,0.011
0.414,17.808,17.808,93.231,93.27,241.103,241.592,0.17,-2.691e-6,0.17,90.001,2.687,15.352,28.61,-80.6,0.215,-6.01e-6,16.561,4.475e-4,86.877,90,689.114,164.205,0.109,7.803e-4,9.792,103.166,81.012,3.355,187.164,27.737,13.948,0.764,0.394,0.24,0.13,0.764,0.063,0.203,-4.993e-4,0,0,0,0,0.009,2.048,90,14.884,1011.161,0.001,340.319,0.274,7.844e6,6.604,34.253,0.015,0.012,0.012
0.429,19.26,19.26,96.895,96.939,238.732,239.025,0.213,-3.091e-6,0.213,90.001,2.895,11.83,28.61,-80.6,0.069,-6.077e-6,-17.154,0.004,87.138,90,687.596,162.687,0.109,7.801e-4,9.792,103.317,80.937,3.389,186.162,27.649,15.084,0.765,0.394,0.241,0.131,0.765,0.02,0.078,-2.285e-4,0,0,0,0,-0.009,2.067,90,14.875,1010.991,0.001,340.313,0.285,8.152e6,6.604,34.253,0.023,0.012,0.012
0.452,21.542,21.542,102.332,102.379,235.819,235.922,0.282,-3.495e-6,0.282,90.001,3.108,6.95,28.61,-80.6,0.4,-5.054e-6,-12.893,1.496e-4,87.493,89.999,685.351,160.442,0.109,7.799e-4,9.792,103.017,80.827,3.36,185.242,27.603,16.864,0.767,0.393,0.242,0.132,0.767,0.118,0.402,-3.976e-4,0,0,0,0,-0.005,2.089,90,14.86,1010.724,0.001,340.304,0.301,8.607e6,6.604,34.253,0.013,0.012,0.013
0.465,22.892,22.892,105.386,105.434,234.05,234.108,0.323,-3.55e-6,0.323,90.001,3.186,5.179,28.61,-80.6,0.484,-5.519e-6,-8.291,8.303e-4,87.632,89.999,684.077,159.168,0.108,7.798e-4,9.792,102.946,80.763,3.359,184.72,27.576,17.908,0.768,0.393,0.242,0.132,0.768,0.143,0.484,-2.739e-4,0,0,0,0,-0.002,2.066,90,14.851,1010.565,0.001,340.299,0.31,8.863e6,6.604,34.253,0.01,0.012,0.014
0.475,23.975,23.975,107.758,107.807,232.614,232.656,0.356,-3.476e-6,0.356,90.001,3.234,4.441,28.61,-80.6,0.501,-5.367e-6,-4.099,3.919e-4,87.695,89.999,683.081,158.172,0.108,7.797e-4,9.792,102.938,80.714,3.365,184.312,27.555,18.74,0.769,0.393,0.242,0.133,0.769,0.149,0.501,3.426e-4,0,0,0,0,-4.156e-4,2.048,90,14.844,1010.438,0.001,340.294,0.317,9.061e6,6.604,34.253,0.005,0.012,0.014
0.48,24.509,24.509,108.902,108.951,231.902,231.942,0.372,-3.408e-6,0.372,90.001,3.256,4.315,28.61,-80.6,0.493,-5.341e-6,-1.992,-2.634e-4,87.71,89.999,682.599,157.69,0.108,7.796e-4,9.792,102.95,80.69,3.371,184.114,27.545,19.147,0.769,0.393,0.243,0.133,0.769,0.146,0.493,3.946e-5,0,0,0,0,-9.606e-5,2.039,90,14.841,1010.376,0.001,340.292,0.32,9.157e6,6.604,34.253,0.007,0.013,0.014
0.487,25.32,25.32,110.609,110.658,230.421,230.463,0.396,-3.265e-6,0.396,90,3.288,4.407,28.61,-80.6,0.463,-5.251e-6,1.143,-8.469e-4,87.713,89.999,681.887,156.978,0.108,7.795e-4,9.792,102.984,80.654,3.381,183.551,27.49,19.763,0.769,0.393,0.243,0.134,0.77,0.137,0.464,1.786e-4,0,0,0,0,3.07e-5,2.026,90,14.835,1010.28,0.001,340.289,0.325,9.299e6,6.604,34.253,0.01,0.013,0.014
0.497,26.393,26.393,112.813,112.862,228.46,228.515,0.428,-3.002e-6,0.428,90,3.333,5.046,28.61,-80.6,0.394,-5.514e-6,4.949,-9.985e-4,87.683,89.998,680.96,156.051,0.108,7.794e-4,9.792,103.057,80.608,3.399,182.818,27.417,20.571,0.77,0.393,0.243,0.134,0.771,0.117,0.396,2.375e-4,0,0,0,0,5.528e-4,2.009,90,14.828,1010.155,0.001,340.285,0.332,9.484e6,6.604,34.253,0.011,0.013,0.014
0.508,27.625,27.625,115.27,115.32,226.207,226.296,0.464,-2.589e-6,0.464,90,3.394,6.343,28.61,-80.6,0.288,-5.76e-6,8.507,-0.002,87.61,89.998,679.918,155.009,0.108,7.793e-4,9.792,103.166,80.555,3.424,181.993,27.335,21.492,0.771,0.392,0.244,0.135,0.771,0.085,0.29,-1.575e-4,0,0,0,0,0.002,1.999,90,14.82,1010.01,0.001,340.28,0.339,9.689e6,6.604,34.253,0.014,0.014,0.015
0.522,29.276,29.276,118.445,118.496,223.189,223.361,0.513,-1.85e-6,0.513,90,3.5,8.759,28.61,-80.6,0.12,-5.381e-6,11.43,-0.007,87.466,89.998,678.556,153.647,0.108,7.792e-4,9.792,103.338,80.487,3.46,180.916,27.228,22.716,0.772,0.392,0.244,0.136,0.772,0.035,0.119,4.84e-4,0,0,0,0,0.003,1.99,90,14.81,1009.816,0.001,340.274,0.348,9.954e6,6.604,34.253,0.008,0.014,0.015
0.53,30.24,30.24,120.239,120.293,221.429,221.67,0.541,-1.312e-6,0.541,90,3.577,10.34,28.61,-80.6,0.02,-5.378e-6,12.006,-0.038,87.371,89.998,677.777,152.868,0.108,7.791e-4,9.792,103.441,80.447,3.482,180.3,27.166,23.426,0.773,0.392,0.245,0.136,0.773,0.006,0.017,1.5e-4,0,0,0,0,0.003,1.986,90,14.803,1009.703,0.001,340.27,0.354,1.01e7,6.604,34.253,0.012,0.014,0.015
0.542,31.712,31.712,122.9,122.956,217.95,218.317,0.585,-3.317e-7,0.585,90,3.716,12.65,28.61,-80.6,0.119,-5.469e-6,-11.264,-0.006,87.228,89.998,676.642,151.733,0.108,7.79e-4,9.792,103.356,80.39,3.478,178.838,26.991,24.504,0.774,0.392,0.245,0.137,0.774,0.035,0.125,3.679e-4,0,0,0,0,-0.002,1.978,90,14.794,1009.531,0.001,340.264,0.362,1.033e7,6.604,34.253,0.018,0.014,0.016
0.56,33.98,33.98,126.812,126.874,212.712,213.256,0.655,1.378e-6,0.655,90,3.972,15.224,28.61,-80.6,0.257,-6.626e-6,-6.988,-0.002,87.058,90,674.938,150.029,0.107,7.788e-4,9.792,103.239,80.303,3.473,176.646,26.728,26.139,0.775,0.392,0.246,0.138,0.776,0.076,0.265,3.917e-4,0,0,0,0,-8.723e-4,1.976,90,14.779,1009.265,0.001,340.255,0.373,1.065e7,6.604,34.253,0.013,0.014,0.016
0.573,35.606,35.606,129.487,129.554,209.083,209.685,0.707,2.528e-6,0.707,90,4.17,15.885,28.61,-80.6,0.285,-7.043e-6,-2.603,-0.003,86.997,90.001,673.748,148.839,0.107,7.787e-4,9.792,103.223,80.242,3.48,175.114,26.543,27.289,0.776,0.391,0.246,0.139,0.777,0.085,0.294,-4.767e-4,0,0,0,0,-1.161e-4,1.978,90,14.769,1009.074,0.001,340.249,0.381,1.088e7,6.604,34.253,0.008,0.014,0.017
0.581,36.653,36.653,131.158,131.229,206.805,207.402,0.741,3.175e-6,0.741,90,4.297,15.722,28.61,-80.6,0.273,-7.344e-6,0.331,-0.001,86.987,90.001,672.994,148.085,0.107,7.786e-4,9.792,103.241,80.203,3.488,174.144,26.425,28.02,0.777,0.391,0.247,0.139,0.777,0.081,0.282,-1.937e-4,0,0,0,0,1.834e-6,1.979,90,14.762,1008.951,0.001,340.245,0.386,1.102e7,6.604,34.253,0.011,0.015,0.017
0.592,38.126,38.126,133.45,133.525,204.977,205.512,0.789,3.921e-6,0.789,90,4.468,14.829,28.61,-80.6,0.221,-7.108e-6,4.062,-0.004,87.012,90.001,671.975,147.066,0.107,7.785e-4,9.792,103.3,80.151,3.505,173.68,26.395,29.037,0.778,0.391,0.247,0.14,0.778,0.065,0.229,-4.195e-4,0,0,0,0,2.661e-4,1.982,90,14.752,1008.778,0.001,340.239,0.393,1.121e7,6.604,34.253,0.013,0.015,0.017
0.605,39.91,39.91,136.148,136.227,202.824,203.231,0.85,4.557e-6,0.85,90,4.652,12.857,28.61,-80.6,0.12,-6.852e-6,7.258,-0.011,87.089,90.002,670.763,145.854,0.107,7.784e-4,9.792,103.407,80.089,3.531,173.129,26.359,30.259,0.779,0.391,0.248,0.141,0.779,0.036,0.125,-3.648e-4,0,0,0,0,8.163e-4,1.984,90,14.741,1008.569,0.001,340.232,0.401,1.143e7,6.604,34.253,0.02,0.015,0.017
0.625,42.652,42.652,140.141,140.226,199.566,199.773,0.944,4.869e-6,0.944,90,4.87,9.091,28.61,-80.6,0.052,-5.933e-6,-8.184,-0.021,87.25,90.002,668.945,144.036,0.107,7.782e-4,9.792,103.49,79.994,3.558,172.302,26.304,32.121,0.781,0.39,0.248,0.142,0.781,0.015,0.055,-5.013e-5,0,0,0,0,-9.794e-4,1.988,90,14.723,1008.248,0.001,340.221,0.412,1.177e7,6.604,34.253,0.007,0.015,0.018
0.632,43.608,43.608,141.493,141.578,198.428,198.585,0.978,4.804e-6,0.978,90,4.928,7.889,28.61,-80.6,0.102,-5.928e-6,-7.355,-0.008,87.303,90.002,668.323,143.414,0.107,7.781e-4,9.792,103.448,79.962,3.556,172.019,26.286,32.766,0.781,0.39,0.249,0.143,0.781,0.03,0.108,2.601e-4,0,0,0,0,-7.76e-4,1.989,90,14.717,1008.136,0.001,340.217,0.416,1.188e7,6.604,34.253,0.01,0.015,0.018
